"Oakland, California",469
"University of California, Berkeley",230
Downtown Oakland,93
"Emeryville, California",77
Lawrence Berkeley National Laboratory,73
"Orinda, California",67
Lake Merritt,66
People's Park (Berkeley),64
Berkeley Hills,59
"Richmond, California",58
Shattuck Avenue,41
Graduate Theological Union,38
"Piedmont, California",38
Berkeley Marina,37
University of California,34
Oakland City Center,32
"Albany, California",31
"Golden Gate, Oakland, California",29
"Mountain View Cemetery (Oakland, California)",29
San Francisco–Oakland Bay Bridge,29
Point Isabel Regional Shoreline,28
Caldecott Tunnel,27
Richmond Shipyards,27
Temescal Creek (Northern California),26
Laney College,26
Port of Oakland,25
Bancroft Library,24
Stern Hall (Berkeley),24
McClymonds High School,24
Jack London Square,24
UC Berkeley College of Engineering,23
Brooks Island Regional Preserve,23
Piedmont Avenue (Berkeley),22
"West Berkeley, Berkeley, California",22
North Berkeley station,21
Chez Panisse,21
Tilden Regional Park,21
The College Preparatory School,21
"Kensington, California",21
Albany Bulb,21
Wildcat Canyon Regional Park,21
Berkeley High School (California),20
Gourmet Ghetto,20
Rockridge station,20
"Temescal, Oakland, California",20
California College of the Arts,20
Oakland Technical High School,20
Richmond Inner Harbor,20
12th Street Oakland City Center station,20
Oakland – Jack London Square station,20
Eastern span replacement of the San Francisco–Oakland Bay Bridge,20
Oakland Estuary,20
Fox Oakland Theatre,19
"Grand Lake, Oakland, California",19
Middle Harbor Shoreline Park,19
Berkeley Student Cooperative,18
Starr King School for the Ministry,18
"Panoramic Hill, Oakland/Berkeley, California",18
"El Cerrito, California",18
"Chinatown, Oakland",18
"Northside, Berkeley, California",17
Hearst Greek Theatre,17
Ashby station (BART),17
"Piedmont Avenue (Oakland, California)",17
Robert Sibley Volcanic Regional Preserve,17
Uptown Oakland,17
"Southside, Berkeley, California",16
California Memorial Stadium,16
Children's Hospital Oakland,16
"Rockridge, Oakland, California",16
Pacific East Mall,16
MacArthur station (BART),16
Hoffman Marsh,16
Oakland City Hall,16
Pacific School of Religion,15
Lawrence Hall of Science,15
Codornices Creek,15
Oakland firestorm of 1991,15
MacArthur Maze,15
Oakland Army Base,15
West Oakland station,15
MetWest High School,15
Joaquin Miller Park,15
Haas Pavilion,14
Berkeley City Club,14
Moffitt Library,14
South Hall (UC Berkeley),14
Evans Hall (UC Berkeley),14
LeConte Hall,14
KALX,14
"Claremont, Oakland/Berkeley, California",14
"Bushrod Park, Oakland, California",14
University of California Botanical Garden,14
"Paramount Theatre (Oakland, California)",14
Head-Royce School,14
UC Berkeley College of Natural Resources,13
Sproul Plaza,13
Goldman School of Public Policy,13
UC Berkeley College of Environmental Design,13
Bowles Hall,13
Berkeley station (California),13
Claremont Canyon Regional Preserve,13
"Longfellow, Oakland, California",13
Cypress Street Viaduct,13
Kaiser Center,13
"Trestle Glen, Oakland, California",13
"Oakland High School (Oakland, California)",13
"San Antonio, Oakland, California",13
Richmond Ferry Terminal,13
Oakland California Temple,13
"Downtown Berkeley, Berkeley, California",12
Edwards Stadium,12
"University House, Berkeley",12
Hearst Memorial Mining Building,12
"Senior Hall (Berkeley, California)",12
Tightwad Hill,12
Maybeck High School,12
Marin Creek,12
Bay Street Emeryville,12
Pixar,12
"North Oakland, Oakland, California",12
Emeryville Crescent State Marine Reserve,12
19th Street Oakland station,12
The Crucible (arts education center),12
"Oakland Point, Oakland, California",12
"Acorn, Oakland, California",12
Oakland Long Wharf,12
"Jack London District, Oakland, California",12
SS Red Oak Victory,12
Downtown Berkeley station,11
Sather Gate,11
UC Berkeley College of Chemistry,11
UC Berkeley School of Optometry,11
"Westbrae, Berkeley, California",11
Solano Avenue,11
"1923 Berkeley, California fire",11
Julia Morgan Hall,11
KEAR (AM),11
Emery Secondary School,11
"Ghost Town, Oakland, California",11
Piedmont High School (California),11
"Montclair, Oakland, California",11
"Cypress Village, Oakland, California",11
"John F. Kennedy High School (Richmond, California)",11
Old Oakland,11
Lake Merritt station,11
"North Berkeley, Berkeley, California",10
Zellerbach Hall,10
Church Divinity School of the Pacific,10
Dominican School of Philosophy and Theology,10
Sather Tower,10
Jacobs Institute for Design Innovation,10
Cloyne Court Hotel,10
Berkeley Art Museum and Pacific Film Archive,10
Haas School of Business,10
Golden Gate Fields,10
Fleming Point,10
Cerrito Creek,10
KPFA,10
J. Mora Moss House,10
"Adams Point, Oakland, California",10
"Civic Center, Oakland, California",10
Macdonald 80 Shopping Center,10
Rosie the Riveter/World War II Home Front National Historical Park,10
"Dimond District, Oakland, California",10
Island High School,10
Evans Diamond,9
UC Berkeley School of Social Welfare,9
UC Berkeley Graduate School of Journalism,9
Campbell Hall (UC Berkeley),9
College Women's Club,9
Saint Mary's College High School,9
UC Berkeley School of Law,9
International House Berkeley,9
"Thousand Oaks, Berkeley, California",9
Lake Temescal,9
KNEW (AM),9
Baxter Creek,9
Stege Marsh,9
San Pablo Ridge,9
Pardee Home,9
"Lower Bottoms, Oakland, California",9
Huckleberry Botanic Regional Preserve,9
Kaiser Convention Center,9
Leimert Bridge,9
Richmond Greenway,9
"Oakmore, Oakland, California",9
"Campus of the University of California, Berkeley",8
California Hall,8
Doe Memorial Library,8
Wheeler Hall,8
La Loma Park,8
Rockridge Market Hall,8
Samuel Merritt University,8
KSFN,8
Children's Fairyland,8
Oakland School for the Arts,8
Amethod Public Schools,8
Posey and Webster Street tubes,8
San Pablo Peninsula,8
Alameda Mole,8
UC Berkeley School of Public Health,7
UC Berkeley Graduate School of Education,7
Hillside Elementary School,7
"Lorin District, Berkeley, California",7
Molecular Foundry,7
Albany High School (California),7
Emeryville station,7
KECG,7
"Holy Names High School (Oakland, California)",7
Point Isabel (promontory),7
"Dogtown, Oakland, California",7
Morcom Rose Garden,7
KMKY (AM),7
"Stege, California",7
Roman Catholic Diocese of Oakland,7
"Lakeside Apartments District, Oakland, California",7
"Crocker Highlands, Oakland, California",7
Oakland Public Library,7
"Marina Bay, Richmond, California",7
"Piedmont Pines, Oakland, California",7
Kaiser Richmond Field Hospital,7
Berkeley City College,6
Helen Wills Neuroscience Institute,6
Hillside Club,6
Jesuit School of Theology of Santa Clara University,6
Gilman Hall,6
"Cragmont, Berkeley, California",6
McLaughlin Eastshore State Park,6
MacGregor High School,6
KKSF (AM),6
"Cathedral of Saint Francis de Sales (Oakland, California)",6
"Oakland Hills, Oakland, California",6
Preservation Park,6
Lincoln University (California),6
Oakland East Bay Symphony,6
Tribune Tower (Oakland),6
René C. Davidson Courthouse,6
USS Potomac (AG-25),6
"Glenview, Oakland, California",6
Ford Motor Company Assembly Plant,6
"East Richmond Heights, California",6
Alameda Health System,6
College of Alameda,6
Dwinelle Hall,5
Etcheverry Hall,5
American Baptist Seminary of the West,5
"The Big ""C""",5
Bentley School,5
Claremont Tunnel,5
Unitarian Universalist Church of Berkeley,5
Ronald V. Dellums Federal Building,5
College of California,5
Oakland Charter High School,5
San Pablo Reservoir,5
Yoshi's (jazz club),5
"Brooklyn, California",5
California Center for Innovative Transportation,4
Institute of Buddhist Studies,4
Harmon Gym (1879),4
UC Village,4
"Schoolhouse Creek (Alameda County, California)",4
Claremont Hotel & Spa,4
Albany Hill,4
Pacific Park Plaza,4
El Cerrito Plaza (shopping center),4
César Chávez Park,4
Hoffman Channel,4
KIQI,4
"West Oakland, Oakland, California",4
555 City Center,4
Orinda station,4
Orinda Academy,4
"Eastport, California",4
Point Potrero,4
Alameda Works Shipyard,4
Berkeley station (Southern Pacific Railroad),3
National Center for Electron Microscopy,3
Levine-Fricke Field,3
Mathematical Sciences Research Institute,3
Aquatic Park (Berkeley),3
KVTO,3
El Cerrito Plaza station,3
"Chapel of the Chimes (Oakland, California)",3
Mosswood Park,3
16th Street station (Oakland),3
"Cathedral of Christ the Light (Oakland, California)",3
Round Top,3
Holden High School (California),3
Bank of America Building (Oakland),3
Briones Reservoir,3
"Fleet and Industrial Supply Center, Oakland",3
Wapama (steam schooner),3
Lauritzen Canal,3
Museum of Vertebrate Zoology,2
Casa Zimbabwe,2
Institute of Transportation Studies,2
"First Unitarian Church (Berkeley, California)",2
Edible Schoolyard,2
Indian Rock Park,2
John Hopkins Spring Estate,2
Grizzly Peak (Berkeley Hills),2
Emeryville Shellmound,2
Rudy's Can't Fail Cafe,2
Oakland Military Institute,2
Piedmont Middle School,2
Ordway Building,2
First Unitarian Church of Oakland,2
Cathedral Building,2
"Alden, California",2
Oakland Ferry Terminal,2
Peralta Community College District,2
"Highland Hospital (Oakland, California)",2
University of California Museum of Paleontology,1
Flora Lamson Hewlett Library,1
"First Church of Christ, Scientist (Berkeley, California)",1
Northbrae Tunnel,1
Advanced Light Source,1
California School for the Blind,1
Lake Anza,1
Sala House,1
Joint BioEnergy Institute,1
Jewel Lake,1
Emeryville Marina,1
Oakland Medical Center,1
McClymonds Educational Complex,1
Playland-Not-At-The-Beach,1
"Temple Sinai (Oakland, California)",1
Grand Lake Theatre,1
El Cerrito del Norte station,1
Berkeley Global Campus at Richmond Bay,1
African American Museum and Library at Oakland,1
Kaiser Engineering Building,1
Rancho El Sobrante,1
Ask.com,1
California's 13th congressional district,1
Berkeley Police Department,0
International Computer Science Institute,0
UC Theatre,0
Berkeley Repertory Theatre,0
California Jazz Conservatory,0
Berkeley Community Theatre,0
"United States Post Office (Berkeley, California)",0
Revival Bar and Kitchen,0
Triple Rock Brewery and Alehouse,0
Ohlone Park,0
"Studio Building (Berkeley, California)",0
Shattuck Hotel,0
Berkeley Public Library,0
Berkeley Buddhist Monastery,0
David Brower Center,0
