Geographic coordinate system,23
California Golden Bears men's basketball,5
"Oakland Hills and Foothills, Oakland, California",5
Interstate 880,4
"Sobrante Park, Oakland, California",4
Institute of Governmental Studies,4
California Golden Bears women's basketball,4
"Fruitvale, Oakland, California",4
California Department of Transportation,4
Bear Transit,4
AC Transit,4
Oski (mascot),4
Yerba Buena Island,4
United States,4
"Eastmont, Oakland, California",4
"Grass Valley, Oakland, California",4
California Golden Bears rugby,3
Free Speech Movement,3
Interstate 80 in California,3
Telegraph Avenue,3
"Crime in Oakland, California",3
John Galen Howard,3
Oakland Athletics,3
"Laurel, Oakland, California",3
World War II,3
Westfield San Francisco Centre,3
Southern Pacific Railroad,3
"East Oakland, Oakland, California",3
California–UCLA football rivalry,3
California,3
Interstate 580 (California),3
Patten University,3
"Alameda, California",3
Key System,3
CalTV,3
San Francisco Bay Area,3
Earl Warren,3
"History of the University of California, Berkeley",3
"Ridgemont, Oakland, California",3
Port of San Francisco,2
"San Miguel, Contra Costa County, California",2
Dublin Unified School District,2
Oakland Railroad Company,2
University of California Men's Octet,2
California Golden Bears softball,2
Joseph Knowland State Arboretum and Park,2
Renewable and Appropriate Energy Laboratory,2
The Play (Stanford vs. California),2
Diablo Foothills Regional Park,2
Berkeley Unified School District,2
Robert J. Birgeneau,2
Country,2
Anthony Chabot Regional Park,2
Westfield Santa Anita,2
East Bay (San Francisco Bay Area),2
Tianjin,2
"Castle Hill, California",2
Golden Gate,2
Julia Morgan School for Girls,2
"Elmwood, Berkeley, California",2
Google,2
Hilltop Mall,2
UC Berkeley School of Information,2
New York City,2
Bernard Maybeck,2
"Pacifica, California",2
Suisun Bay,2
American Indian Model Schools,2
"List of Nobel laureates affiliated with the University of California, Berkeley",2
Hayward Unified School District,2
Bay Area Rapid Transit,2
Ashby Avenue,2
California State Route 24,2
"Redwood Heights, Oakland, California",2
The Shops at Tanforan,2
Mortar Board,2
"Fremont High School (Oakland, California)",2
Naval Air Station Alameda,2
Koreatown,2
California Golden Bears football,2
Livermore Valley Charter Prep,2
"Palo Alto, California",2
"St. Elizabeth High School (Oakland, California)",2
Pac-12 Conference,2
Oakland International High School,2
Berkeley Barb,2
Partners for Advanced Traffic and Highways,2
Port of Richmond (California),2
United States Public Health Service,2
"List of Berkeley High School (Berkeley, California) people",2
Redwood Christian School,2
Rancho San Antonio (Peralta),2
East Bay Municipal Utility District,2
Strawberry Creek,2
Castro Valley station,2
Coyote brush,2
Amador Valley High School,2
Franklin Delano Roosevelt,2
San Francisco Bay,2
Bishop O'Dowd High School,2
Sibley Volcanic Regional Park,2
Bibliothèque nationale de France,2
Frederick Law Olmsted,2
"South Berkeley, Berkeley, California",2
"Benicia, California",2
The Daily Californian,2
Castlemont High School,2
California State Route 13,2
Richmond Medical Center,2
List of counties in California,2
Occupy Oakland,2
Lawrence M. Friedman,2
Computer science,2
UC Berkeley,2
Oakland International Airport station,2
"Richmond Annex, Richmond, California",2
Hayward Fault Zone,2
Chabot Space and Science Center,2
University of California Marching Band,2
Market and Dolores / Market and Buchanan stations,2
Gold Country,2
Somersville Towne Center,2
Social club,2
"Naval Supply Depot, Oakland",2
California State Route 123,2
Bus rapid transit,2
Serramonte Center,2
Undergraduate education,1
All Hail Blue and Gold,1
Wharfinger,1
KCSM (FM),1
Encinal High School,1
2004 California wildfires,1
Las Trampas Regional Wilderness,1
Wildcat Canyon,1
Moreau Catholic High School,1
Santa Ynez Valley,1
California Golden Bears baseball,1
"Alameda Theatre (Alameda, California)",1
BoltBus,1
United States dollar,1
St. Helens Shipbuilding Company,1
Chester Talton,1
Cordelia Slough,1
Libby Schaaf,1
Lassen Community College,1
List of state highways in California (pre-1964),1
Berryessa/North San José station,1
South Coast (California),1
Public policy,1
High School for the Performing and Visual Arts,1
Berkeley in the Sixties,1
Washington High School (Fremont),1
Westgate Mall (San Jose),1
Football at the 1912 Summer Olympics,1
San Pablo Bay,1
La Tuna Fire,1
Daylight saving time,1
Associated Students of the University of California,1
Fashion Valley Mall,1
List of sovereign states,1
List of hospitals in Arkansas,1
1931–32 California Golden Bears men's basketball team,1
"Crockett, California",1
Antioch–SFO/Millbrae line,1
"Montville, Connecticut",1
Livermore Valley Joint Unified School District,1
Emeryville (Amtrak station),1
Union Square/Market Street station,1
"Yelp, Inc.",1
Crematory,1
"Broadway Auto Row, Oakland, California",1
"West Covina, California",1
List of lakes in California,1
Westpoint Harbor,1
"University of California, Hastings College of the Law",1
Sacramento Northern,1
1990 United States Census,1
Carousel Mall,1
"Hayward, California",1
American Indian Public High School,1
List of municipalities in California,1
Grove-Shafter Freeway,1
Ph.D,1
Waterpolo,1
San Lorenzo Creek,1
Zimri Heywood,1
Cucamonga Valley,1
"Adobe Creek (Santa Clara County, California)",1
Manzanita Fire,1
Astro Radio,1
Pontifical university,1
Castro Rocks,1
Variety (magazine),1
"National Register of Historic Places listings in Riverside County, California",1
Decline to State,1
"Eden Landing, California",1
Golden Gate Bridge,1
Golden Gate Biosphere Reserve,1
Richard Stege,1
Andrew Lawson,1
Dublin High School (California),1
Baccharis glutinosa,1
"Salesian High School (Richmond, California)",1
KRZZ,1
German Americans,1
Friends of Five Creeks,1
Oakland Assembly,1
Sargassum muticum,1
Association of Southern Women for the Prevention of Lynching,1
"Philadelphia, Pennsylvania",1
Capitol Corridor,1
Greg Sebourn,1
Pacific Standard Time Zone,1
"Petaluma, California",1
Irvington station (BART),1
Evelyn (VTA),1
"Grace Cathedral, San Francisco",1
Cross country running,1
Master of Arts,1
Venice,1
Argonne National Laboratory,1
List of hospitals in Pennsylvania,1
Savannah River Site,1
Oyster Bay Regional Shoreline,1
List of Berkeley neighborhoods,1
"United States presidential election, 2012",1
Selland Arena,1
Fraternities and sororities,1
Episcopal Diocese of Olympia,1
Gothic revival,1
"Alvarado, California",1
Limited liability company,1
New York University,1
"El Cajon, California",1
Frank Morton Todd,1
Sigma Alpha Mu,1
San Pablo Creek,1
The Birds (play),1
Lieutenant,1
National Register of Historic Places listings in California,1
List of Fields Medal winners by university affiliation,1
"San Jose, California",1
San Leandro Oyster Beds,1
Port of Redwood City,1
Black-crowned night heron,1
Orchestra,1
"Millbrae, California",1
"List of companies based in Oakland, California",1
2017 NBA Finals,1
Oakland Raiders,1
"National Register of Historic Places listings in Alameda County, California",1
Annecy,1
"Monte Vista, Alameda County, California",1
West Contra Costa Unified School District,1
Nevada,1
National Register of Historic Places,1
"National Register of Historic Places listings in Mariposa County, California",1
"San Carlos, California",1
Six Flags Hurricane Harbor,1
"Santa Fe, Oakland, California",1
U.S. state,1
Richard Nixon,1
Luis Walter Alvarez,1
Berkeley Communications Corporation,1
University of Maryland,1
Sonoma County Airport station,1
Sherwood Mall,1
2009 MLB draft,1
Peter Smith (scientist),1
Four Mounds Site,1
KMVS (FM),1
Swale (landform),1
Paul Kwong,1
Student association,1
Robert Reich,1
Easter,1
"San Rafael, California",1
Marin Islands,1
Federal Highway Administration,1
Wurlitzer,1
Sickle cell anemia,1
Richard Olney (food writer),1
Symantec,1
Ventura County Community College District,1
Government of Singapore Investment Corporation,1
"Atchison, California",1
United States Department of Energy,1
"List of University of California, Berkeley alumni",1
Coast Community College District,1
Under Secretary of Energy for Energy and Environment,1
BSD license,1
Beacon Press,1
Twin towns and sister cities,1
Oakland Aviation High School,1
Lobbyist,1
Jawaharlal Nehru University,1
"Modesto, California",1
Phoebe Apperson Hearst,1
Love Boat (study tour),1
Big C (fight song),1
"San Ramon, California",1
Tom Butt,1
Republican Party (United States),1
Heuristic Squelch,1
"Chinatown, San Francisco",1
"Elmhurst, Oakland, California",1
"Baumberg, California",1
List of lakes by area,1
Fort Juelson,1
"Russell City, California",1
Pac-12 Conference football,1
San Ramon Valley High School,1
Rocky Mountains,1
Area code 510,1
Chester Nimitz,1
Pleasanton Ridge Regional Park,1
University of Melbourne,1
Westfield UTC,1
Urban Creeks Council,1
Village Creek (Alameda County),1
UCSF School of Medicine,1
Chief Justice of the United States,1
Suitcase Clinic,1
1988 California Golden Bears football team,1
Walter Plunkett,1
Fruitvale station,1
Arthur Holder,1
Harold Gilliam,1
"San Bernardino, California",1
San Antonio Shopping Center,1
UC Berkeley College of Letters and Science,1
Chelsea Wetlands,1
Western Association of Schools and Colleges,1
Ferries of San Francisco Bay,1
Westfield Oakridge,1
Arctostaphylos,1
Judy Ritter,1
Andrew Grove,1
Contra Costa School of Performing Arts,1
Kathryn Werdegar,1
Unitarianism,1
Woolsey Fire,1
California Democratic Party,1
Master of Public Health,1
Lake Chabot Regional Park,1
San Diego Miramar College,1
"Crolona Heights, California",1
San Francisco International Airport,1
Barbara Halliday,1
Promontory,1
RevPAR,1
Pioneers in Engineering,1
"List of University of California, Berkeley faculty",1
Criticality (status),1
Vault.com,1
Roman Catholic Church,1
Transhipped,1
"Campbell, California",1
California Golden Bears women's soccer,1
Port-de-Paix,1
Stanford University,1
Little Red Riding Hood,1
Fashion Fair Mall,1
"List of people from Berkeley, California",1
Fishing techniques,1
Grand Lake Theater,1
Hong Kong Anglican Church,1
Royal Sunset High School,1
Hillsdale Shopping Center,1
KDFC,1
"National Register of Historic Places listings in Pasadena, California",1
Point Pinole Pier,1
23rd Street (SF Muni station),1
Central Pacific Railroad,1
"Vista, California",1
4th and Brannan station,1
East Bay Hills (Nova Scotia),1
Taos Pueblo,1
List of lakes in the San Francisco Bay Area,1
Oxnard Plain,1
Beaux-Arts architecture,1
Emeritus,1
Pal Joey (film),1
Fudan University,1
Margaret Miles,1
Alpha Epsilon Pi,1
Contra Costa Community College District,1
"San Francisco, California",1
Lil B,1
Meeker Slough,1
"Werner, California",1
Grossmont–Cuyamaca Community College District,1
Shell mound,1
Trauma center,1
Law of California,1
National Basketball Association,1
Caltopia,1
R. Carey Davis,1
Pier 41,1
State Scenic Highway System (California),1
GMC (automobile),1
Roberts Regional Recreation Area,1
General Federation of Women's Clubs,1
Contra Costa College,1
Frankenia,1
The Bay School of San Francisco,1
KFYI,1
1938–39 California Golden Bears men's basketball team,1
Oakland City Council,1
Mark Daniels,1
West Oakland BART Station,1
"International Boulevard (Oakland, California)",1
East Bay (California),1
California Lutheran University,1
James Logan High School,1
Walter Steilberg,1
"Alamo, California",1
Garrity Creek,1
Karaiskakis Stadium,1
The Berkeley Jazz Festival,1
American Baptist Churches USA,1
Swimming (sport),1
"United States presidential election, 2004",1
China National Radio,1
KXZM,1
Californium,1
"Timeline of Oakland, California history",1
Melvin Belli,1
Skyline College,1
High-rise,1
Dunsmuir House,1
"Bixler, California",1
Labyrinth,1
Crockett Hills Regional Park,1
United Kingdom,1
"Bridgehead, California",1
University of Rochester,1
Big Sandy Wildlife Area,1
City Beautiful movement,1
Mission Bay (San Francisco),1
Interstate 980,1
Tom Tait,1
Church and 18th Street,1
Oski the Bear,1
Warren Hellman,1
Laurie Zoloth,1
"Havenscourt, Oakland, California",1
The Nutcracker,1
Cuisine of the United States,1
KOIT,1
"Los Altos, California",1
KCEA,1
Adult standards,1
Vladimir Nabokov,1
University president,1
San Francisco fog,1
United States Attorney General,1
African-Americans,1
Huápoca,1
Bohemian,1
East Bay Express,1
"National Register of Historic Places listings in Inyo County, California",1
Stonestown Galleria,1
Minnesota Woman,1
Biomaterials,1
24th Street Mission station,1
1910 United States Census,1
"Millsmont, Oakland, California",1
General Motors Streetcar Conspiracy,1
Flounder,1
Library (computer science),1
San Lorenzo High School,1
Geography of California,1
List of National Natural Landmarks in California,1
Ron Silliman,1
"University Avenue (Berkeley, California)",1
Lakeshorehomes.net,1
"Sequoyah Heights, Oakland, California",1
Filtration,1
Jean Hargrove Music Library,1
Rheem Creek,1
Mole (architecture),1
United States Secretary of the Treasury,1
"Ukiah, California",1
International Standard Book Number,1
16th Street Station,1
Terrance Odean,1
"Gateley, California",1
Washington Senators (1961-71),1
Fox Oakland Theater,1
"Redwood City, California",1
Gloria Garcia,1
Order of the Golden Bear,1
Emeryville Center for Community Life,1
Inorganic chemistry,1
Pine Fire,1
KPOO,1
"Eagle Mountain, California",1
Education in California,1
USC Trojans baseball,1
1960s Berkeley protests,1
Potrero Point,1
Washington Redskins,1
Unincorporated area,1
Transportation in the San Francisco Bay Area,1
"Albany, New York",1
"Byron, California",1
San Domenico School,1
Leona Canyon Regional Open Space Preserve,1
"American High School (Fremont, California)",1
"Seminary, Oakland, California",1
Suburban,1
National Football League,1
Santa Monica College,1
St. Mary Medical Center (Long Beach),1
KATD,1
"Valley High School (Dublin, California)",1
Chilean American,1
Belmont Park (San Diego),1
Neoclassical architecture,1
Rose Bowl (stadium),1
Indian American,1
Contributing site,1
"Research centers and laboratories at the University of California, Berkeley",1
"John F. Kennedy High School (Fremont, California)",1
Oakland Fire Department,1
Islam,1
Bay Area Interscholastic Athletic League,1
Stanford Cardinal,1
"United States presidential election, 1980",1
Biofuel,1
Guadalupe River (California),1
Mojave Desert,1
Clint Eastwood,1
PowerBar,1
1927 California Golden Bears football team,1
Horace Davis,1
Rector Reservoir Wildlife Area,1
Martin E. Meyerson,1
Gordon Parks,1
United Methodist Church,1
Mianyang,1
2018 California Golden Bears football team,1
Jade Puget,1
"Union City, California",1
Jack Delinger,1
San Francisco Ferry Building,1
Street,1
Carillon,1
California Pacific Conference,1
Henry J. Kaiser,1
Delta Fire,1
Gothic architecture,1
Rocky Flats Plant,1
1923 Berkeley Fire,1
San Francisco County,1
"List of Unitarians, Universalists, and Unitarian Universalists",1
1986–87 California Golden Bears men's basketball team,1
Los Angeles,1
Coat of arms of City of Oakland,1
Sutter Roseville Medical Center,1
Point Molate Marsh,1
"National Register of Historic Places listings in Shasta County, California",1
Antioch station (BART),1
"Fisherman's Wharf, San Francisco",1
1880 United States Census,1
Dongdaemun Stadium,1
Griffin Park,1
Roxann Dawson,1
"National Register of Historic Places listings in Mendocino County, California",1
Master of Theology,1
BP,1
Cable car (railway),1
1900 California Golden Bears baseball team,1
"Contra Costa County, California",1
Bechtel Corporation,1
The Port Company,1
Raymond A. Buenaventura,1
"Butte County, California",1
AXIS Dance Company,1
Sacramento–San Joaquin River Delta,1
Shell Development Emeryville,1
List of AC Transit routes,1
Oakland Oaks (PCL),1
"Stanford, California",1
Bus station,1
Cogswell Polytechnical College,1
BSD Unix,1
"Santa Clara, California",1
New Mexico,1
Relativistic Heavy Ion Collider,1
Pullman Palace Car Company,1
United States Department of Housing and Urban Development,1
Hunters Point Naval Shipyard,1
The Stanford Axe,1
Basketball,1
California's 9th State Senate district,1
Union City Transit,1
Pulitzer Prize for National Reporting,1
1928–29 California Golden Bears men's basketball team,1
August Vollmer,1
Linguistics,1
"National Register of Historic Places listings in Sacramento County, California",1
List of California Historical Landmarks,1
East Bay Electric Lines,1
National Park Service,1
PCJ Radio,1
Guangxi,1
Disneyland,1
"Half Moon Bay, California",1
Big Break Regional Shoreline,1
Manzanita,1
Montgomery Village Shopping Center,1
"Canyon, California",1
Evangelical Lutheran Church in America,1
SkyscraperPage,1
San Francisco International Airport (BART station),1
Paul S. Leon,1
Elections in California,1
Burn (injury),1
Baltimore Orioles,1
